player_id,player_x,team,height,weight,position,player_y,season,team_id,gp,pts,ast,reb,fgm,fga,fg_pct,min
1630542,Marcus Bagley,,6-6,217,Forward,Marcus Bagley,2024-25,1610612755,10,67,10,70,27,69,0.391,253.0
1628963,Marvin Bagley III,Grizzlies,6-10,235,Forward,Marvin Bagley III,2024-25,0,31,136,11,84,55,106,0.519,265.0
1631116,Patrick Baldwin Jr.,Clippers,6-9,220,Forward,Patrick Baldwin Jr.,2024-25,0,24,53,3,25,19,35,0.543,107.0
1630163,LaMelo Ball,Hornets,6-7,180,Guard,LaMelo Ball,2024-25,1610612766,47,1184,346,232,406,1003,0.405,1505.0
1628366,Lonzo Ball,Bulls,6-6,190,Guard,Lonzo Ball,2024-25,1610612741,35,267,115,118,89,243,0.366,777.0
1628964,Mo Bamba,,7-0,231,Center,Mo Bamba,2024-25,0,32,138,18,145,52,112,0.464,413.0
1631094,Paolo Banchero,Magic,6-10,250,Forward,Paolo Banchero,2024-25,1610612753,46,1191,219,345,412,911,0.452,1582.0
1630217,Desmond Bane,Magic,6-5,215,Guard,Desmond Bane,2024-25,1610612763,69,1327,369,418,493,1018,0.484,2205.0
1630625,Dalano Banton,Trail Blazers,6-8,203,Forward,Dalano Banton,2024-25,1610612757,67,559,160,135,198,507,0.391,1120.0
1631230,Dominick Barlow,Hawks,6-8,215,Forward,Dominick Barlow,2024-25,1610612737,35,148,19,85,60,113,0.531,375.0
203084,Harrison Barnes,Spurs,6-8,225,Forward,Harrison Barnes,2024-25,1610612759,82,1011,136,310,347,683,0.508,2230.0
1630567,Scottie Barnes,Raptors,6-7,237,Forward-Guard,Scottie Barnes,2024-25,1610612761,65,1252,378,502,474,1063,0.446,2134.0
1629628,RJ Barrett,Raptors,6-6,214,Forward-Guard,RJ Barrett,2024-25,1610612761,58,1223,314,366,460,982,0.468,1869.0
203078,Bradley Beal,Suns,6-4,207,Guard,Bradley Beal,2024-25,1610612756,53,902,195,177,345,694,0.497,1702.0
1627736,Malik Beasley,Pistons,6-4,187,Guard,Malik Beasley,2024-25,1610612765,82,1336,139,214,461,1071,0.43,2283.0
1630699,MarJon Beauchamp,Knicks,6-7,199,Forward,MarJon Beauchamp,2024-25,0,35,79,11,44,27,65,0.415,156.0
1641736,Reece Beekman,Nets,6-3,190,Guard,Reece Beekman,2024-25,0,36,93,63,39,35,107,0.327,469.0
1630180,Saddiq Bey,Wizards,6-7,215,Guard-Forward,Saddiq Bey,2023-24,1610612737,63,863,92,411,290,697,0.416,2062.0
1629048,Goga Bitadze,Magic,6-10,250,Center-Forward,Goga Bitadze,2024-25,1610612753,70,502,137,463,207,339,0.611,1429.0
202687,Bismack Biyombo,Spurs,6-8,255,Center,Bismack Biyombo,2024-25,1610612759,28,144,31,158,67,114,0.588,528.0
1641710,Anthony Black,Magic,6-7,200,Guard,Anthony Black,2024-25,1610612753,78,736,240,230,262,620,0.423,1887.0
203992,Bogdan Bogdanović,Clippers,6-5,225,Guard,Bogdan Bogdanović,2024-25,0,54,583,146,159,210,492,0.427,1348.0
1629626,Bol Bol,Suns,7-3,220,Center-Forward,Bol Bol,2024-25,1610612756,36,244,22,104,96,183,0.525,448.0
1641737,Adem Bona,76ers,6-10,235,Forward,Adem Bona,2024-25,1610612755,58,337,27,245,135,192,0.703,905.0
1626164,Devin Booker,Suns,6-6,206,Guard,Devin Booker,2024-25,1610612756,75,1923,529,305,654,1420,0.461,2795.0
1630527,Brandon Boston,Pelicans,6-6,188,Guard,Brandon Boston,2024-25,1610612740,42,448,92,134,166,381,0.436,993.0
1628449,Chris Boucher,Raptors,6-9,200,Forward,Chris Boucher,2024-25,1610612761,50,502,33,224,182,370,0.492,862.0
1631123,Jamaree Bouyea,Bucks,6-2,180,Guard,Jamaree Bouyea,2024-25,1610612749,5,17,10,5,6,12,0.5,62.0
1628396,Tony Bradley,Pacers,6-11,248,Center-Forward,Tony Bradley,2024-25,1610612754,14,61,6,42,29,45,0.644,113.0
1631103,Malaki Branham,Spurs,6-4,180,Forward,Malaki Branham,2024-25,1610612759,47,235,38,51,87,190,0.458,427.0
1631128,Christian Braun,Nuggets,6-6,220,Guard,Christian Braun,2024-25,1610612743,79,1218,205,410,476,821,0.58,2675.0
1641779,Jalen Bridges,Suns,6-8,225,Forward,Jalen Bridges,2024-25,1610612756,8,9,0,4,2,7,0.286,30.0
1628969,Mikal Bridges,Knicks,6-6,209,Guard-Forward,Mikal Bridges,2024-25,1610612752,82,1444,306,259,592,1183,0.5,3036.0
1628970,Miles Bridges,Hornets,6-7,225,Forward,Miles Bridges,2024-25,1610612766,64,1300,248,481,469,1089,0.431,2029.0
